-fno-vectorize,-DN=512,-O0,Run_Iteration,Result
True,-DN=512,-O0,1,0.726814
True,-DN=512,-O1,1,0.941686
True,-DN=512,-O2,1,0.696756
True,-DN=512,-O3,1,0.72555
True,-DN=512,-Ofast,1,0.704101
True,-DN=513,-O0,1,0.620999
True,-DN=513,-O1,1,0.56844
True,-DN=513,-O2,1,0.150206
True,-DN=513,-O3,1,0.150042
True,-DN=513,-Ofast,1,0.149367
True,-DN=1000,-O0,1,4.529679
True,-DN=1000,-O1,1,4.296818
True,-DN=1000,-O2,1,1.118725
True,-DN=1000,-O3,1,1.127634
True,-DN=1000,-Ofast,1,1.117385
True,-DN=1024,-O0,1,5.682284
True,-DN=1024,-O1,1,7.122962
True,-DN=1024,-O2,1,7.61164
True,-DN=1024,-O3,1,8.654073
True,-DN=1024,-Ofast,1,7.515157
True,-DN=2000,-O0,1,48.996653
True,-DN=2000,-O1,1,36.539118
True,-DN=2000,-O2,1,13.265333
True,-DN=2000,-O3,1,12.832691
True,-DN=2000,-Ofast,1,13.044754
True,-DN=2048,-O0,1,69.901916
True,-DN=2048,-O1,1,90.565664
True,-DN=2048,-O2,1,83.583588
True,-DN=2048,-O3,1,83.891573
True,-DN=2048,-Ofast,1,84.261079
False,-DN=512,-O0,1,0.672918
False,-DN=512,-O1,1,0.752579
False,-DN=512,-O2,1,0.692199
False,-DN=512,-O3,1,0.692417
False,-DN=512,-Ofast,1,0.688153
False,-DN=513,-O0,1,0.623185
False,-DN=513,-O1,1,0.575562
False,-DN=513,-O2,1,0.151227
False,-DN=513,-O3,1,0.15011
False,-DN=513,-Ofast,1,0.150731
False,-DN=1000,-O0,1,4.580903
False,-DN=1000,-O1,1,4.331391
False,-DN=1000,-O2,1,1.123139
False,-DN=1000,-O3,1,1.129893
False,-DN=1000,-Ofast,1,1.132016
False,-DN=1024,-O0,1,5.891998
False,-DN=1024,-O1,1,7.608998
False,-DN=1024,-O2,1,8.593697
False,-DN=1024,-O3,1,7.01007
False,-DN=1024,-Ofast,1,6.809002
False,-DN=2000,-O0,1,48.422478
False,-DN=2000,-O1,1,35.875359
False,-DN=2000,-O2,1,12.546188
False,-DN=2000,-O3,1,12.498531
False,-DN=2000,-Ofast,1,12.507057
False,-DN=2048,-O0,1,69.042271
False,-DN=2048,-O1,1,87.891979
False,-DN=2048,-O2,1,82.630721
False,-DN=2048,-O3,1,83.770202
False,-DN=2048,-Ofast,1,82.552186
True,-DN=512,-O0,2,0.669434
True,-DN=512,-O1,2,0.777179
True,-DN=512,-O2,2,0.775638
True,-DN=512,-O3,2,0.695506
True,-DN=512,-Ofast,2,0.733979
True,-DN=513,-O0,2,0.638767
True,-DN=513,-O1,2,0.571384
True,-DN=513,-O2,2,0.151203
True,-DN=513,-O3,2,0.151214
True,-DN=513,-Ofast,2,0.152994
True,-DN=1000,-O0,2,4.582268
True,-DN=1000,-O1,2,4.31936
True,-DN=1000,-O2,2,1.133466
True,-DN=1000,-O3,2,1.132124
True,-DN=1000,-Ofast,2,1.125796
True,-DN=1024,-O0,2,5.862653
True,-DN=1024,-O1,2,7.164647
True,-DN=1024,-O2,2,7.504209
True,-DN=1024,-O3,2,8.609515
True,-DN=1024,-Ofast,2,7.994351
True,-DN=2000,-O0,2,46.901215
True,-DN=2000,-O1,2,35.763514
True,-DN=2000,-O2,2,12.521515
True,-DN=2000,-O3,2,12.23703
True,-DN=2000,-Ofast,2,12.467142
True,-DN=2048,-O0,2,68.667744
True,-DN=2048,-O1,2,88.737408
True,-DN=2048,-O2,2,84.848927
True,-DN=2048,-O3,2,84.731123
True,-DN=2048,-Ofast,2,85.204807
False,-DN=512,-O0,2,0.682721
False,-DN=512,-O1,2,0.748534
False,-DN=512,-O2,2,0.719933
False,-DN=512,-O3,2,0.707753
False,-DN=512,-Ofast,2,0.721906
False,-DN=513,-O0,2,0.623704
False,-DN=513,-O1,2,0.572663
False,-DN=513,-O2,2,0.150667
False,-DN=513,-O3,2,0.15096
False,-DN=513,-Ofast,2,0.150686
False,-DN=1000,-O0,2,4.600224
False,-DN=1000,-O1,2,4.316546
False,-DN=1000,-O2,2,1.125448
False,-DN=1000,-O3,2,1.127609
False,-DN=1000,-Ofast,2,1.125505
False,-DN=1024,-O0,2,5.63876
False,-DN=1024,-O1,2,7.497001
False,-DN=1024,-O2,2,7.125788
False,-DN=1024,-O3,2,8.521653
False,-DN=1024,-Ofast,2,7.701955
False,-DN=2000,-O0,2,48.382702
False,-DN=2000,-O1,2,36.159721
False,-DN=2000,-O2,2,12.395616
False,-DN=2000,-O3,2,12.389881
False,-DN=2000,-Ofast,2,12.570997
False,-DN=2048,-O0,2,70.044678
False,-DN=2048,-O1,2,88.758143
False,-DN=2048,-O2,2,83.824941
False,-DN=2048,-O3,2,84.585149
False,-DN=2048,-Ofast,2,82.408183
True,-DN=512,-O0,3,0.682248
True,-DN=512,-O1,3,0.778324
True,-DN=512,-O2,3,0.691802
True,-DN=512,-O3,3,0.691748
True,-DN=512,-Ofast,3,0.707471
True,-DN=513,-O0,3,0.634286
True,-DN=513,-O1,3,0.573595
True,-DN=513,-O2,3,0.1527
True,-DN=513,-O3,3,0.151174
True,-DN=513,-Ofast,3,0.151989
True,-DN=1000,-O0,3,4.603809
True,-DN=1000,-O1,3,4.323487
True,-DN=1000,-O2,3,1.138157
True,-DN=1000,-O3,3,1.134623
True,-DN=1000,-Ofast,3,1.13648
True,-DN=1024,-O0,3,5.768237
True,-DN=1024,-O1,3,6.984622
True,-DN=1024,-O2,3,6.451123
True,-DN=1024,-O3,3,6.905872
