-fno-vectorize,-fopenmp,-DN=512,-O0,OMP_NUM_THREADS,Run_Iteration,Result
True,True,-DN=512,-O0,1,1,0.201842
True,True,-DN=512,-O0,2,1,0.099558
True,True,-DN=512,-O0,3,1,0.067667
True,True,-DN=512,-O0,4,1,0.050324
True,True,-DN=512,-O0,5,1,0.040711
True,True,-DN=512,-O0,6,1,0.034974
True,True,-DN=512,-O0,7,1,0.029098
True,True,-DN=512,-O0,8,1,0.02685
True,True,-DN=512,-O0,9,1,0.022977
True,True,-DN=512,-O0,10,1,0.026775
True,True,-DN=512,-O0,11,1,0.019523
True,True,-DN=512,-O0,12,1,0.022072
True,True,-DN=512,-O0,13,1,0.01807
True,True,-DN=512,-O0,14,1,0.041639
True,True,-DN=512,-O0,15,1,0.026149
True,True,-DN=512,-O0,16,1,0.022327
True,True,-DN=512,-O2,1,1,0.015063
True,True,-DN=512,-O2,2,1,0.008448
True,True,-DN=512,-O2,3,1,0.005021
True,True,-DN=512,-O2,4,1,0.003879
True,True,-DN=512,-O2,5,1,0.005998
True,True,-DN=512,-O2,6,1,0.005158
True,True,-DN=512,-O2,7,1,0.002922
True,True,-DN=512,-O2,8,1,0.004503
True,True,-DN=512,-O2,9,1,0.003496
True,True,-DN=512,-O2,10,1,0.004586
True,True,-DN=512,-O2,11,1,0.001814
True,True,-DN=512,-O2,12,1,0.003645
True,True,-DN=512,-O2,13,1,0.003171
True,True,-DN=512,-O2,14,1,0.002192
True,True,-DN=512,-O2,15,1,0.002315
True,True,-DN=512,-O2,16,1,0.006195
True,True,-DN=512,-O3,1,1,0.015108
True,True,-DN=512,-O3,2,1,0.007795
True,True,-DN=512,-O3,3,1,0.005109
True,True,-DN=512,-O3,4,1,0.003814
True,True,-DN=512,-O3,5,1,0.003077
True,True,-DN=512,-O3,6,1,0.002594
True,True,-DN=512,-O3,7,1,0.002255
True,True,-DN=512,-O3,8,1,0.005575
True,True,-DN=512,-O3,9,1,0.003435
True,True,-DN=512,-O3,10,1,0.003035
True,True,-DN=512,-O3,11,1,0.002782
True,True,-DN=512,-O3,12,1,0.002543
True,True,-DN=512,-O3,13,1,0.003522
True,True,-DN=512,-O3,14,1,0.00407
True,True,-DN=512,-O3,15,1,0.004294
True,True,-DN=512,-O3,16,1,0.004872
True,True,-DN=513,-O0,1,1,0.197325
True,True,-DN=513,-O0,2,1,0.100135
True,True,-DN=513,-O0,3,1,0.068006
True,True,-DN=513,-O0,4,1,0.053352
True,True,-DN=513,-O0,5,1,0.042918
True,True,-DN=513,-O0,6,1,0.035409
True,True,-DN=513,-O0,7,1,0.029457
True,True,-DN=513,-O0,8,1,0.040462
True,True,-DN=513,-O0,9,1,0.029171
True,True,-DN=513,-O0,10,1,0.024175
True,True,-DN=513,-O0,11,1,0.030841
True,True,-DN=513,-O0,12,1,0.019582
True,True,-DN=513,-O0,13,1,0.020679
True,True,-DN=513,-O0,14,1,0.028953
True,True,-DN=513,-O0,15,1,0.022939
True,True,-DN=513,-O0,16,1,0.032747
True,True,-DN=513,-O2,1,1,0.017898
True,True,-DN=513,-O2,2,1,0.008995
True,True,-DN=513,-O2,3,1,0.006283
True,True,-DN=513,-O2,4,1,0.004498
True,True,-DN=513,-O2,5,1,0.005623
True,True,-DN=513,-O2,6,1,0.006059
True,True,-DN=513,-O2,7,1,0.005342
True,True,-DN=513,-O2,8,1,0.009559
True,True,-DN=513,-O2,9,1,0.003947
True,True,-DN=513,-O2,10,1,0.003513
True,True,-DN=513,-O2,11,1,0.004471
True,True,-DN=513,-O2,12,1,0.003151
True,True,-DN=513,-O2,13,1,0.002755
True,True,-DN=513,-O2,14,1,0.002789
True,True,-DN=513,-O2,15,1,0.003814
True,True,-DN=513,-O2,16,1,0.004312
True,True,-DN=513,-O3,1,1,0.018011
True,True,-DN=513,-O3,2,1,0.009128
True,True,-DN=513,-O3,3,1,0.005978
True,True,-DN=513,-O3,4,1,0.004468
True,True,-DN=513,-O3,5,1,0.00413
True,True,-DN=513,-O3,6,1,0.008573
True,True,-DN=513,-O3,7,1,0.003262
True,True,-DN=513,-O3,8,1,0.004524
True,True,-DN=513,-O3,9,1,0.003965
True,True,-DN=513,-O3,10,1,0.002839
True,True,-DN=513,-O3,11,1,0.003836
True,True,-DN=513,-O3,12,1,0.002978
True,True,-DN=513,-O3,13,1,0.002778
True,True,-DN=513,-O3,14,1,0.003967
True,True,-DN=513,-O3,15,1,0.004697
True,True,-DN=513,-O3,16,1,0.004525
True,True,-DN=1000,-O0,1,1,1.467524
True,True,-DN=1000,-O0,2,1,0.736613
True,True,-DN=1000,-O0,3,1,0.498292
True,True,-DN=1000,-O0,4,1,0.375142
True,True,-DN=1000,-O0,5,1,0.302266
True,True,-DN=1000,-O0,6,1,0.256267
True,True,-DN=1000,-O0,7,1,0.221343
True,True,-DN=1000,-O0,8,1,0.192174
True,True,-DN=1000,-O0,9,1,0.184131
True,True,-DN=1000,-O0,10,1,0.155415
True,True,-DN=1000,-O0,11,1,0.146261
True,True,-DN=1000,-O0,12,1,0.135912
True,True,-DN=1000,-O0,13,1,0.146578
True,True,-DN=1000,-O0,14,1,0.12358
True,True,-DN=1000,-O0,15,1,0.123281
True,True,-DN=1000,-O0,16,1,0.105046
True,True,-DN=1000,-O2,1,1,0.117276
True,True,-DN=1000,-O2,2,1,0.056838
True,True,-DN=1000,-O2,3,1,0.038422
True,True,-DN=1000,-O2,4,1,0.03019
True,True,-DN=1000,-O2,5,1,0.024067
True,True,-DN=1000,-O2,6,1,0.022004
True,True,-DN=1000,-O2,7,1,0.0176
True,True,-DN=1000,-O2,8,1,0.015579
True,True,-DN=1000,-O2,9,1,0.017864
True,True,-DN=1000,-O2,10,1,0.016507
True,True,-DN=1000,-O2,11,1,0.039498
True,True,-DN=1000,-O2,12,1,0.029146
True,True,-DN=1000,-O2,13,1,0.026201
True,True,-DN=1000,-O2,14,1,0.022384
True,True,-DN=1000,-O2,15,1,0.023141
True,True,-DN=1000,-O2,16,1,0.029513
True,True,-DN=1000,-O3,1,1,0.11132
True,True,-DN=1000,-O3,2,1,0.059876
True,True,-DN=1000,-O3,3,1,0.038901
True,True,-DN=1000,-O3,4,1,0.02972
True,True,-DN=1000,-O3,5,1,0.023889
True,True,-DN=1000,-O3,6,1,0.024631
True,True,-DN=1000,-O3,7,1,0.016666
True,True,-DN=1000,-O3,8,1,0.021655
True,True,-DN=1000,-O3,9,1,0.016716
True,True,-DN=1000,-O3,10,1,0.024944
True,True,-DN=1000,-O3,11,1,0.013366
True,True,-DN=1000,-O3,12,1,0.010449
True,True,-DN=1000,-O3,13,1,0.017849
True,True,-DN=1000,-O3,14,1,0.014399
True,True,-DN=1000,-O3,15,1,0.015641
True,True,-DN=1000,-O3,16,1,0.013497
True,True,-DN=1024,-O0,1,1,1.568577
True,True,-DN=1024,-O0,2,1,0.793744
True,True,-DN=1024,-O0,3,1,0.541629
True,True,-DN=1024,-O0,4,1,0.402801
True,True,-DN=1024,-O0,5,1,0.325793
True,True,-DN=1024,-O0,6,1,0.288774
True,True,-DN=1024,-O0,7,1,0.234387
True,True,-DN=1024,-O0,8,1,0.213067
True,True,-DN=1024,-O0,9,1,0.189393
True,True,-DN=1024,-O0,10,1,0.174241
True,True,-DN=1024,-O0,11,1,0.154623
True,True,-DN=1024,-O0,12,1,0.1931
True,True,-DN=1024,-O0,13,1,0.169864
True,True,-DN=1024,-O0,14,1,0.131579
True,True,-DN=1024,-O0,15,1,0.151333
True,True,-DN=1024,-O0,16,1,0.114266
True,True,-DN=1024,-O2,1,1,0.123331
True,True,-DN=1024,-O2,2,1,0.062961
True,True,-DN=1024,-O2,3,1,0.04555
True,True,-DN=1024,-O2,4,1,0.031329
True,True,-DN=1024,-O2,5,1,0.026084
True,True,-DN=1024,-O2,6,1,0.023117
True,True,-DN=1024,-O2,7,1,0.028061
True,True,-DN=1024,-O2,8,1,0.017611
True,True,-DN=1024,-O2,9,1,0.027083
True,True,-DN=1024,-O2,10,1,0.013248
True,True,-DN=1024,-O2,11,1,0.027149
True,True,-DN=1024,-O2,12,1,0.017254
True,True,-DN=1024,-O2,13,1,0.020639
True,True,-DN=1024,-O2,14,1,0.026981
True,True,-DN=1024,-O2,15,1,0.020329
True,True,-DN=1024,-O2,16,1,0.016284
True,True,-DN=1024,-O3,1,1,0.121552
True,True,-DN=1024,-O3,2,1,0.061164
True,True,-DN=1024,-O3,3,1,0.042795
True,True,-DN=1024,-O3,4,1,0.035192
True,True,-DN=1024,-O3,5,1,0.045153
True,True,-DN=1024,-O3,6,1,0.021245
True,True,-DN=1024,-O3,7,1,0.020939
True,True,-DN=1024,-O3,8,1,0.030781
True,True,-DN=1024,-O3,9,1,0.024539
True,True,-DN=1024,-O3,10,1,0.027191
True,True,-DN=1024,-O3,11,1,0.019235
True,True,-DN=1024,-O3,12,1,0.016812
True,True,-DN=1024,-O3,13,1,0.023966
True,True,-DN=1024,-O3,14,1,0.026504
True,True,-DN=1024,-O3,15,1,0.017362
True,True,-DN=1024,-O3,16,1,0.015988
True,True,-DN=2000,-O0,1,1,12.034834
True,True,-DN=2000,-O0,2,1,6.037455
True,True,-DN=2000,-O0,3,1,4.065567
True,True,-DN=2000,-O0,4,1,3.074664
True,True,-DN=2000,-O0,5,1,2.47907
True,True,-DN=2000,-O0,6,1,2.071289
True,True,-DN=2000,-O0,7,1,1.789031
True,True,-DN=2000,-O0,8,1,1.562006
True,True,-DN=2000,-O0,9,1,1.447842
True,True,-DN=2000,-O0,10,1,1.288072
True,True,-DN=2000,-O0,11,1,1.179328
True,True,-DN=2000,-O0,12,1,1.09689
True,True,-DN=2000,-O0,13,1,1.018249
True,True,-DN=2000,-O0,14,1,0.939913
True,True,-DN=2000,-O0,15,1,0.892274
True,True,-DN=2000,-O0,16,1,0.846602
True,True,-DN=2000,-O2,1,1,1.569682
True,True,-DN=2000,-O2,2,1,0.839089
True,True,-DN=2000,-O2,3,1,0.548136
True,True,-DN=2000,-O2,4,1,0.394605
True,True,-DN=2000,-O2,5,1,0.347491
True,True,-DN=2000,-O2,6,1,0.289851
True,True,-DN=2000,-O2,7,1,0.275285
True,True,-DN=2000,-O2,8,1,0.226351
True,True,-DN=2000,-O2,9,1,0.207131
True,True,-DN=2000,-O2,10,1,0.193572
True,True,-DN=2000,-O2,11,1,0.190436
True,True,-DN=2000,-O2,12,1,0.154157
True,True,-DN=2000,-O2,13,1,0.153849
True,True,-DN=2000,-O2,14,1,0.153088
True,True,-DN=2000,-O2,15,1,0.148824
True,True,-DN=2000,-O2,16,1,0.130618
True,True,-DN=2000,-O3,1,1,1.656786
True,True,-DN=2000,-O3,2,1,0.76675
True,True,-DN=2000,-O3,3,1,0.490444
True,True,-DN=2000,-O3,4,1,0.382213
True,True,-DN=2000,-O3,5,1,0.330792
True,True,-DN=2000,-O3,6,1,0.278368
True,True,-DN=2000,-O3,7,1,0.262905
True,True,-DN=2000,-O3,8,1,0.223746
True,True,-DN=2000,-O3,9,1,0.211115
True,True,-DN=2000,-O3,10,1,0.193927
True,True,-DN=2000,-O3,11,1,0.174481
True,True,-DN=2000,-O3,12,1,0.198704
True,True,-DN=2000,-O3,13,1,0.156425
True,True,-DN=2000,-O3,14,1,0.167973
True,True,-DN=2000,-O3,15,1,0.154979
True,True,-DN=2000,-O3,16,1,0.132605
True,True,-DN=2048,-O0,1,1,12.980219
True,True,-DN=2048,-O0,2,1,6.56822
True,True,-DN=2048,-O0,3,1,4.430607
True,True,-DN=2048,-O0,4,1,3.304247
True,True,-DN=2048,-O0,5,1,2.666741
True,True,-DN=2048,-O0,6,1,2.263372
True,True,-DN=2048,-O0,7,1,1.936816
True,True,-DN=2048,-O0,8,1,1.700599
True,True,-DN=2048,-O0,9,1,1.541103
True,True,-DN=2048,-O0,10,1,1.398365
True,True,-DN=2048,-O0,11,1,1.273617
True,True,-DN=2048,-O0,12,1,1.169003
True,True,-DN=2048,-O0,13,1,1.110166
True,True,-DN=2048,-O0,14,1,1.033918
