-DN=512,-O0,Run_Iteration,Result
-DN=512,-O0,1,0.206366
-DN=512,-O2,1,0.016886
-DN=512,-O3,1,0.017097
-DN=513,-O0,1,0.200847
-DN=513,-O2,1,0.018054
-DN=513,-O3,1,0.017984
-DN=1000,-O0,1,1.404633
-DN=1000,-O2,1,0.113463
-DN=1000,-O3,1,0.112532
-DN=1024,-O0,1,1.505703
-DN=1024,-O2,1,0.117614
-DN=1024,-O3,1,0.118036
-DN=2000,-O0,1,11.717023
-DN=2000,-O2,1,1.569255
-DN=2000,-O3,1,1.598332
-DN=2048,-O0,1,12.604013
-DN=2048,-O2,1,1.949042
-DN=2048,-O3,1,1.859557
-DN=512,-O0,2,0.188369
-DN=512,-O2,2,0.015691
-DN=512,-O3,2,0.015986
-DN=513,-O0,2,0.188058
-DN=513,-O2,2,0.017572
-DN=513,-O3,2,0.018201
-DN=1000,-O0,2,1.415059
-DN=1000,-O2,2,0.108757
-DN=1000,-O3,2,0.11294
-DN=1024,-O0,2,1.492955
-DN=1024,-O2,2,0.118302
-DN=1024,-O3,2,0.121203
-DN=2000,-O0,2,11.748024
-DN=2000,-O2,2,1.53742
-DN=2000,-O3,2,1.520758
-DN=2048,-O0,2,12.671752
-DN=2048,-O2,2,1.875286
-DN=2048,-O3,2,2.023022
-DN=512,-O0,3,0.187913
-DN=512,-O2,3,0.015654
-DN=512,-O3,3,0.016077
-DN=513,-O0,3,0.190011
-DN=513,-O2,3,0.018092
-DN=513,-O3,3,0.018178
-DN=1000,-O0,3,1.400966
-DN=1000,-O2,3,0.110336
-DN=1000,-O3,3,0.109846
-DN=1024,-O0,3,1.51011
-DN=1024,-O2,3,0.120898
-DN=1024,-O3,3,0.12033
-DN=2000,-O0,3,11.702615
-DN=2000,-O2,3,1.551677
-DN=2000,-O3,3,1.607366
-DN=2048,-O0,3,12.555739
-DN=2048,-O2,3,1.975356
-DN=2048,-O3,3,1.95681
-DN=512,-O0,4,0.186983
-DN=512,-O2,4,0.016086
-DN=512,-O3,4,0.015606
-DN=513,-O0,4,0.189927
-DN=513,-O2,4,0.018093
-DN=513,-O3,4,0.017627
-DN=1000,-O0,4,1.407725
-DN=1000,-O2,4,0.113956
-DN=1000,-O3,4,0.109665
-DN=1024,-O0,4,1.518209
-DN=1024,-O2,4,0.119606
-DN=1024,-O3,4,0.119333
-DN=2000,-O0,4,11.693288
-DN=2000,-O2,4,1.593086
-DN=2000,-O3,4,1.678665
-DN=2048,-O0,4,12.880694
-DN=2048,-O2,4,2.278611
-DN=2048,-O3,4,2.103858
-DN=512,-O0,5,0.187378
-DN=512,-O2,5,0.015815
-DN=512,-O3,5,0.015423
-DN=513,-O0,5,0.189362
-DN=513,-O2,5,0.018435
-DN=513,-O3,5,0.019057
-DN=1000,-O0,5,1.421618
-DN=1000,-O2,5,0.11151
-DN=1000,-O3,5,0.111828
-DN=1024,-O0,5,1.507123
-DN=1024,-O2,5,0.119526
-DN=1024,-O3,5,0.119423
-DN=2000,-O0,5,11.748775
-DN=2000,-O2,5,1.413874
-DN=2000,-O3,5,1.395795
-DN=2048,-O0,5,12.813032
-DN=2048,-O2,5,2.843204
-DN=2048,-O3,5,2.356872
-DN=512,-O0,6,0.189397
-DN=512,-O2,6,0.01621
-DN=512,-O3,6,0.016777
-DN=513,-O0,6,0.194264
-DN=513,-O2,6,0.018457
-DN=513,-O3,6,0.020169
-DN=1000,-O0,6,1.41552
-DN=1000,-O2,6,0.110962
-DN=1000,-O3,6,0.111537
-DN=1024,-O0,6,1.520092
-DN=1024,-O2,6,0.119364
-DN=1024,-O3,6,0.120927
-DN=2000,-O0,6,11.88067
-DN=2000,-O2,6,1.689735
-DN=2000,-O3,6,1.566177
-DN=2048,-O0,6,12.821697
-DN=2048,-O2,6,2.087262
-DN=2048,-O3,6,2.048433
-DN=512,-O0,7,0.186865
-DN=512,-O2,7,0.01625
-DN=512,-O3,7,0.015476
-DN=513,-O0,7,0.188624
-DN=513,-O2,7,0.018166
-DN=513,-O3,7,0.017623
-DN=1000,-O0,7,1.412092
-DN=1000,-O2,7,0.110078
-DN=1000,-O3,7,0.109904
-DN=1024,-O0,7,1.517971
-DN=1024,-O2,7,0.118093
-DN=1024,-O3,7,0.12199
-DN=2000,-O0,7,11.818418
-DN=2000,-O2,7,1.641529
-DN=2000,-O3,7,1.744662
-DN=2048,-O0,7,12.837934
-DN=2048,-O2,7,2.082273
-DN=2048,-O3,7,1.817731
-DN=512,-O0,8,0.18818
-DN=512,-O2,8,0.016144
-DN=512,-O3,8,0.016618
-DN=513,-O0,8,0.191426
-DN=513,-O2,8,0.018469
-DN=513,-O3,8,0.018316
-DN=1000,-O0,8,1.420703
-DN=1000,-O2,8,0.111528
-DN=1000,-O3,8,0.113423
-DN=1024,-O0,8,1.513651
-DN=1024,-O2,8,0.11975
-DN=1024,-O3,8,0.123529
-DN=2000,-O0,8,11.887269
-DN=2000,-O2,8,1.477598
-DN=2000,-O3,8,1.137079
-DN=2048,-O0,8,12.816379
-DN=2048,-O2,8,2.253142
-DN=2048,-O3,8,2.163885
-DN=512,-O0,9,0.188459
-DN=512,-O2,9,0.016551
-DN=512,-O3,9,0.016176
-DN=513,-O0,9,0.1911
-DN=513,-O2,9,0.018109
-DN=513,-O3,9,0.018112
-DN=1000,-O0,9,1.445849
-DN=1000,-O2,9,0.112212
-DN=1000,-O3,9,0.111911
-DN=1024,-O0,9,1.518532
-DN=1024,-O2,9,0.120288
-DN=1024,-O3,9,0.119867
-DN=2000,-O0,9,11.924006
-DN=2000,-O2,9,1.278254
-DN=2000,-O3,9,1.501077
-DN=2048,-O0,9,12.843683
-DN=2048,-O2,9,2.087837
-DN=2048,-O3,9,1.975881
-DN=512,-O0,10,0.188021
-DN=512,-O2,10,0.016238
-DN=512,-O3,10,0.0154
-DN=513,-O0,10,0.190344
-DN=513,-O2,10,0.018524
-DN=513,-O3,10,0.017791
-DN=1000,-O0,10,1.417646
-DN=1000,-O2,10,0.112817
-DN=1000,-O3,10,0.110991
-DN=1024,-O0,10,1.519595
-DN=1024,-O2,10,0.119413
-DN=1024,-O3,10,0.122389
-DN=2000,-O0,10,11.96317
-DN=2000,-O2,10,1.754567
-DN=2000,-O3,10,1.494596
-DN=2048,-O0,10,12.816452
-DN=2048,-O2,10,1.979146
-DN=2048,-O3,10,1.96941
