-fno-vectorize,-DN=512,-O0,Run_Iteration,Result,N,gflops_per_sec
True,-DN=512,-O2,1,0.147004,512,1.8278250931947428
True,-DN=513,-O2,1,0.145225,513,1.8610746290239286
True,-DN=1000,-O2,1,0.151008,1000,13.250953591862682
True,-DN=1024,-O2,1,0.146102,1024,14.705700291577118
True,-DN=2000,-O2,1,0.144943,2000,110.41581863215197
True,-DN=2048,-O2,1,0.149743,2048,114.75704031574098
False,-DN=512,-O2,1,0.145769,512,1.8433109920490636
False,-DN=513,-O2,1,0.147,513,1.8386024693877554
False,-DN=1000,-O2,1,0.147401,1000,13.575213193940339
False,-DN=1024,-O2,1,0.147921,1024,14.524862757823435
False,-DN=2000,-O2,1,0.146892,2000,108.95079378046456
False,-DN=2048,-O2,1,0.148559,2048,115.6716421623732
True,-DN=512,-O2,2,0.146727,512,1.831275770648892
True,-DN=513,-O2,2,0.147526,513,1.8320469815490155
True,-DN=1000,-O2,2,0.145987,1000,13.706699911635967
True,-DN=1024,-O2,2,0.149728,1024,14.349568711263093
True,-DN=2000,-O2,2,0.145495,2000,109.99690711020997
True,-DN=2048,-O2,2,0.145279,2048,118.28318950433305
False,-DN=512,-O2,2,0.146367,512,1.8357799230700909
False,-DN=513,-O2,2,0.148295,513,1.8225467008327996
False,-DN=1000,-O2,2,0.150307,1000,13.312753231719082
False,-DN=1024,-O2,2,0.146639,1024,14.65184721663405
False,-DN=2000,-O2,2,0.146683,2000,109.10603137377883
False,-DN=2048,-O2,2,0.145342,2048,118.2319184268828
True,-DN=512,-O2,3,0.147005,512,1.8278126594333526
True,-DN=513,-O2,3,0.149424,513,1.8087761203019597
True,-DN=1000,-O2,3,0.145903,1000,13.714591201003405
True,-DN=1024,-O2,3,0.148622,1024,14.456353864165468
True,-DN=2000,-O2,3,0.145667,2000,109.86702547591426
True,-DN=2048,-O2,3,0.148305,2048,115.86975144465796
False,-DN=512,-O2,3,0.147867,512,1.8171573102855945
False,-DN=513,-O2,3,0.146498,513,1.8449027495255912
False,-DN=1000,-O2,3,0.149126,1000,13.418183281252094
False,-DN=1024,-O2,3,0.146282,1024,14.687604927468863
False,-DN=2000,-O2,3,0.1482,2000,107.98920377867748
False,-DN=2048,-O2,3,0.148124,2048,116.01133839215791
True,-DN=512,-O2,4,0.147957,512,1.8160519610427353
True,-DN=513,-O2,4,0.149264,513,1.8107149949083503
True,-DN=1000,-O2,4,0.147605,1000,13.556451339724264
True,-DN=1024,-O2,4,0.147533,1024,14.563061986131919
True,-DN=2000,-O2,4,0.149622,2000,106.96287979040515
True,-DN=2048,-O2,4,0.146782,2048,117.07200806638416
False,-DN=512,-O2,4,0.146146,512,1.8385559645833618
False,-DN=513,-O2,4,0.147307,513,1.83477066941829
False,-DN=1000,-O2,4,0.146547,1000,13.65432250404307
False,-DN=1024,-O2,4,0.149741,1024,14.348322930927402
False,-DN=2000,-O2,4,0.148267,2000,107.94040481024099
False,-DN=2048,-O2,4,0.146566,2048,117.24454162629804
True,-DN=512,-O2,5,0.148709,512,1.80686844777384
True,-DN=513,-O2,5,0.147219,513,1.8358674016261491
True,-DN=1000,-O2,5,0.14641,1000,13.667099241855063
True,-DN=1024,-O2,5,0.147976,1024,14.51946412931827
True,-DN=2000,-O2,5,0.147527,2000,108.48183722301683
True,-DN=2048,-O2,5,0.146102,2048,117.61689427933908
False,-DN=512,-O2,5,0.158219,512,1.698263798911635
False,-DN=513,-O2,5,0.14694,513,1.839353225806452
False,-DN=1000,-O2,5,0.146433,1000,13.664952572166108
False,-DN=1024,-O2,5,0.151333,1024,14.197380769561168
False,-DN=2000,-O2,5,0.146226,2000,109.44702036573524
False,-DN=2048,-O2,5,0.149226,2048,115.15462109820004
True,-DN=512,-O2,6,0.147996,512,1.81557339387551
True,-DN=513,-O2,6,0.147482,513,1.8325935571798593
True,-DN=1000,-O2,6,0.147781,1000,13.540306263998755
