-fno-vectorize,-DN=512,-O0,Run_Iteration,Result
True,-DN=512,-O0,1,0.200321
True,-DN=512,-O1,1,0.041623
True,-DN=512,-O2,1,0.015554
True,-DN=512,-O3,1,0.015935
True,-DN=512,-Ofast,1,0.016904
True,-DN=513,-O0,1,0.193066
True,-DN=513,-O1,1,0.044002
True,-DN=513,-O2,1,0.017846
True,-DN=513,-O3,1,0.018548
True,-DN=513,-Ofast,1,0.018481
True,-DN=1000,-O0,1,1.428446
True,-DN=1000,-O1,1,0.290989
True,-DN=1000,-O2,1,0.113273
True,-DN=1000,-O3,1,0.113712
True,-DN=1000,-Ofast,1,0.122733
True,-DN=1024,-O0,1,1.527293
True,-DN=1024,-O1,1,0.324218
True,-DN=1024,-O2,1,0.121062
True,-DN=1024,-O3,1,0.122631
True,-DN=1024,-Ofast,1,0.133402
True,-DN=2000,-O0,1,12.135808
True,-DN=2000,-O1,1,2.784355
True,-DN=2000,-O2,1,2.001875
True,-DN=2000,-O3,1,1.702838
True,-DN=2000,-Ofast,1,1.550372
True,-DN=2048,-O0,1,12.887027
True,-DN=2048,-O1,1,3.150547
True,-DN=2048,-O2,1,2.141061
True,-DN=2048,-O3,1,2.119939
True,-DN=2048,-Ofast,1,1.992171
False,-DN=512,-O0,1,0.193199
False,-DN=512,-O1,1,0.041827
False,-DN=512,-O2,1,0.016061
False,-DN=512,-O3,1,0.015732
False,-DN=512,-Ofast,1,0.017093
False,-DN=513,-O0,1,0.190239
False,-DN=513,-O1,1,0.042364
False,-DN=513,-O2,1,0.01796
False,-DN=513,-O3,1,0.018376
False,-DN=513,-Ofast,1,0.018885
False,-DN=1000,-O0,1,1.429867
False,-DN=1000,-O1,1,0.292052
False,-DN=1000,-O2,1,0.113064
False,-DN=1000,-O3,1,0.112753
False,-DN=1000,-Ofast,1,0.124068
False,-DN=1024,-O0,1,1.531124
False,-DN=1024,-O1,1,0.324646
False,-DN=1024,-O2,1,0.119317
False,-DN=1024,-O3,1,0.122204
False,-DN=1024,-Ofast,1,0.135449
False,-DN=2000,-O0,1,12.071681
False,-DN=2000,-O1,1,2.866682
False,-DN=2000,-O2,1,1.811752
False,-DN=2000,-O3,1,1.801082
False,-DN=2000,-Ofast,1,1.343232
False,-DN=2048,-O0,1,12.884171
False,-DN=2048,-O1,1,3.08599
False,-DN=2048,-O2,1,2.106864
False,-DN=2048,-O3,1,2.129522
False,-DN=2048,-Ofast,1,1.957371
True,-DN=512,-O0,2,0.188854
True,-DN=512,-O1,2,0.042672
True,-DN=512,-O2,2,0.015753
True,-DN=512,-O3,2,0.016126
True,-DN=512,-Ofast,2,0.017403
True,-DN=513,-O0,2,0.191548
True,-DN=513,-O1,2,0.042092
True,-DN=513,-O2,2,0.019254
True,-DN=513,-O3,2,0.018598
True,-DN=513,-Ofast,2,0.018683
True,-DN=1000,-O0,2,1.434601
True,-DN=1000,-O1,2,0.29087
True,-DN=1000,-O2,2,0.11252
True,-DN=1000,-O3,2,0.113449
True,-DN=1000,-Ofast,2,0.123691
True,-DN=1024,-O0,2,1.629579
True,-DN=1024,-O1,2,0.323234
True,-DN=1024,-O2,2,0.120661
True,-DN=1024,-O3,2,0.120902
True,-DN=1024,-Ofast,2,0.134065
True,-DN=2000,-O0,2,11.911163
True,-DN=2000,-O1,2,2.880614
True,-DN=2000,-O2,2,1.84291
True,-DN=2000,-O3,2,1.602046
True,-DN=2000,-Ofast,2,1.49035
True,-DN=2048,-O0,2,13.03761
True,-DN=2048,-O1,2,3.165935
True,-DN=2048,-O2,2,2.108889
True,-DN=2048,-O3,2,2.087678
True,-DN=2048,-Ofast,2,1.949948
False,-DN=512,-O0,2,0.188221
False,-DN=512,-O1,2,0.041869
False,-DN=512,-O2,2,0.015995
False,-DN=512,-O3,2,0.015664
False,-DN=512,-Ofast,2,0.01727
False,-DN=513,-O0,2,0.193607
False,-DN=513,-O1,2,0.042258
False,-DN=513,-O2,2,0.019062
False,-DN=513,-O3,2,0.019061
False,-DN=513,-Ofast,2,0.018244
False,-DN=1000,-O0,2,1.435493
False,-DN=1000,-O1,2,0.290448
False,-DN=1000,-O2,2,0.111982
False,-DN=1000,-O3,2,0.112131
False,-DN=1000,-Ofast,2,0.125195
False,-DN=1024,-O0,2,1.5299
False,-DN=1024,-O1,2,0.321535
False,-DN=1024,-O2,2,0.121031
False,-DN=1024,-O3,2,0.122929
False,-DN=1024,-Ofast,2,0.131936
False,-DN=2000,-O0,2,11.855396
False,-DN=2000,-O1,2,2.791043
False,-DN=2000,-O2,2,1.706076
False,-DN=2000,-O3,2,1.600329
False,-DN=2000,-Ofast,2,1.480078
False,-DN=2048,-O0,2,13.195761
False,-DN=2048,-O1,2,3.481316
False,-DN=2048,-O2,2,2.316069
False,-DN=2048,-O3,2,2.444644
False,-DN=2048,-Ofast,2,2.39932
True,-DN=512,-O0,3,0.193451
True,-DN=512,-O1,3,0.042253
True,-DN=512,-O2,3,0.015925
True,-DN=512,-O3,3,0.016858
True,-DN=512,-Ofast,3,0.018427
True,-DN=513,-O0,3,0.193755
True,-DN=513,-O1,3,0.0432
True,-DN=513,-O2,3,0.019209
True,-DN=513,-O3,3,0.018431
True,-DN=513,-Ofast,3,0.018853
True,-DN=1000,-O0,3,1.496373
True,-DN=1000,-O1,3,0.294774
True,-DN=1000,-O2,3,0.113772
True,-DN=1000,-O3,3,0.113354
True,-DN=1000,-Ofast,3,0.149518
True,-DN=1024,-O0,3,1.545363
True,-DN=1024,-O1,3,0.323317
True,-DN=1024,-O2,3,0.120901
True,-DN=1024,-O3,3,0.151489
True,-DN=1024,-Ofast,3,0.134481
True,-DN=2000,-O0,3,12.294461
True,-DN=2000,-O1,3,2.779821
True,-DN=2000,-O2,3,2.018291
True,-DN=2000,-O3,3,1.651741
True,-DN=2000,-Ofast,3,1.604254
True,-DN=2048,-O0,3,13.047484
True,-DN=2048,-O1,3,3.549757
True,-DN=2048,-O2,3,2.269297
True,-DN=2048,-O3,3,2.112028
True,-DN=2048,-Ofast,3,1.918255
False,-DN=512,-O0,3,0.191915
False,-DN=512,-O1,3,0.042419
False,-DN=512,-O2,3,0.015916
False,-DN=512,-O3,3,0.016532
False,-DN=512,-Ofast,3,0.01794
False,-DN=513,-O0,3,0.193803
False,-DN=513,-O1,3,0.042952
False,-DN=513,-O2,3,0.018302
False,-DN=513,-O3,3,0.018415
False,-DN=513,-Ofast,3,0.01913
False,-DN=1000,-O0,3,1.439388
False,-DN=1000,-O1,3,0.292026
False,-DN=1000,-O2,3,0.114766
False,-DN=1000,-O3,3,0.112114
False,-DN=1000,-Ofast,3,0.125387
False,-DN=1024,-O0,3,1.561768
False,-DN=1024,-O1,3,0.323402
False,-DN=1024,-O2,3,0.120717
False,-DN=1024,-O3,3,0.121327
False,-DN=1024,-Ofast,3,0.135514
False,-DN=2000,-O0,3,12.016616
False,-DN=2000,-O1,3,2.774488
False,-DN=2000,-O2,3,1.703071
False,-DN=2000,-O3,3,1.745965
False,-DN=2000,-Ofast,3,1.4571
False,-DN=2048,-O0,3,13.133076
False,-DN=2048,-O1,3,3.344641
False,-DN=2048,-O2,3,2.316726
False,-DN=2048,-O3,3,2.35872
False,-DN=2048,-Ofast,3,2.20799
True,-DN=512,-O0,4,0.194027
True,-DN=512,-O1,4,0.043861
True,-DN=512,-O2,4,0.015781
True,-DN=512,-O3,4,0.015928
True,-DN=512,-Ofast,4,0.017593
True,-DN=513,-O0,4,0.192485
True,-DN=513,-O1,4,0.042244
True,-DN=513,-O2,4,0.018749
True,-DN=513,-O3,4,0.018569
True,-DN=513,-Ofast,4,0.019487
True,-DN=1000,-O0,4,1.444522
True,-DN=1000,-O1,4,0.293201
True,-DN=1000,-O2,4,0.112342
True,-DN=1000,-O3,4,0.118365
True,-DN=1000,-Ofast,4,0.125257
True,-DN=1024,-O0,4,1.547804
True,-DN=1024,-O1,4,0.323981
True,-DN=1024,-O2,4,0.123699
True,-DN=1024,-O3,4,0.119762
True,-DN=1024,-Ofast,4,0.137474
True,-DN=2000,-O0,4,12.171606
True,-DN=2000,-O1,4,2.864908
True,-DN=2000,-O2,4,1.488267
True,-DN=2000,-O3,4,1.91604
True,-DN=2000,-Ofast,4,1.613947
True,-DN=2048,-O0,4,13.185982
True,-DN=2048,-O1,4,3.338561
True,-DN=2048,-O2,4,2.227442
True,-DN=2048,-O3,4,2.155215
True,-DN=2048,-Ofast,4,1.901492
False,-DN=512,-O0,4,0.191425
False,-DN=512,-O1,4,0.043057
False,-DN=512,-O2,4,0.016359
False,-DN=512,-O3,4,0.016485
False,-DN=512,-Ofast,4,0.017464
False,-DN=513,-O0,4,0.192808
False,-DN=513,-O1,4,0.043496
False,-DN=513,-O2,4,0.018241
False,-DN=513,-O3,4,0.018364
False,-DN=513,-Ofast,4,0.018747
False,-DN=1000,-O0,4,1.432303
False,-DN=1000,-O1,4,0.291201
False,-DN=1000,-O2,4,0.114075
False,-DN=1000,-O3,4,0.112907
False,-DN=1000,-Ofast,4,0.125731
False,-DN=1024,-O0,4,1.540315
False,-DN=1024,-O1,4,0.323398
False,-DN=1024,-O2,4,0.122481
False,-DN=1024,-O3,4,0.122252
False,-DN=1024,-Ofast,4,0.133578
False,-DN=2000,-O0,4,12.214595
False,-DN=2000,-O1,4,2.837577
False,-DN=2000,-O2,4,1.734781
False,-DN=2000,-O3,4,1.88704
False,-DN=2000,-Ofast,4,1.489024
False,-DN=2048,-O0,4,13.105748
False,-DN=2048,-O1,4,3.112304
False,-DN=2048,-O2,4,1.947645
False,-DN=2048,-O3,4,2.32219
False,-DN=2048,-Ofast,4,1.946052
True,-DN=512,-O0,5,0.192635
True,-DN=512,-O1,5,0.042343
True,-DN=512,-O2,5,0.016096
True,-DN=512,-O3,5,0.015893
True,-DN=512,-Ofast,5,0.016988
True,-DN=513,-O0,5,0.194235
True,-DN=513,-O1,5,0.04375
True,-DN=513,-O2,5,0.018443
True,-DN=513,-O3,5,0.018407
True,-DN=513,-Ofast,5,0.019263
True,-DN=1000,-O0,5,1.450457
True,-DN=1000,-O1,5,0.292891
True,-DN=1000,-O2,5,0.115079
True,-DN=1000,-O3,5,0.113311
True,-DN=1000,-Ofast,5,0.126879
True,-DN=1024,-O0,5,1.549513
True,-DN=1024,-O1,5,0.323958
True,-DN=1024,-O2,5,0.121201
True,-DN=1024,-O3,5,0.128171
True,-DN=1024,-Ofast,5,0.132221
True,-DN=2000,-O0,5,11.972162
True,-DN=2000,-O1,5,2.682694
True,-DN=2000,-O2,5,1.726376
True,-DN=2000,-O3,5,1.717458
True,-DN=2000,-Ofast,5,1.229972
True,-DN=2048,-O0,5,13.199057
True,-DN=2048,-O1,5,3.197984
True,-DN=2048,-O2,5,2.19895
True,-DN=2048,-O3,5,2.263853
True,-DN=2048,-Ofast,5,2.08149
False,-DN=512,-O0,5,0.192433
False,-DN=512,-O1,5,0.043869
False,-DN=512,-O2,5,0.016346
False,-DN=512,-O3,5,0.016081
False,-DN=512,-Ofast,5,0.018259
False,-DN=513,-O0,5,0.192425
False,-DN=513,-O1,5,0.044001
False,-DN=513,-O2,5,0.01807
False,-DN=513,-O3,5,0.018677
