-fopenmp,-O0,N,Run_Iteration,Vector Instruction Ratio,Total Cycles
True,-O0,-DN=32,1,0.074972670788803,14575279523
True,-O0,-DN=64,1,0.0749726705404736,14581265682
True,-O0,-DN=128,1,0.0749726707689367,14571838079
True,-O0,-DN=256,1,0.074972670788803,14614262024
True,-O0,-DN=512,1,0.0749726707760318,14593088207
True,-O0,-DN=513,1,0.0749726707703557,14579280465
True,-O0,-DN=1000,1,0.0749697031580499,14771582221
True,-O0,-DN=1024,1,0.0749697022045403,14811948169
True,-O2,-DN=32,1,0.2854345811828215,2899187008
True,-O2,-DN=64,1,0.28543486525752,2752574345
True,-O2,-DN=128,1,0.2854348514438236,2775992521
True,-O2,-DN=256,1,0.2854559505869166,2739763781
True,-O2,-DN=512,1,0.2854348433652785,2735893903
True,-O2,-DN=513,1,0.2854348974175373,2707294562
True,-O2,-DN=1000,1,0.2854348127778143,2736488311
True,-O2,-DN=1024,1,0.2854348637466469,2756529873
True,-O3,-DN=32,1,0.4196436694179521,1060215604
True,-O3,-DN=64,1,0.4196436688850198,1055780481
True,-O3,-DN=128,1,0.4196436683520876,1094009125
True,-O3,-DN=256,1,0.4196436696844183,1038368477
True,-O3,-DN=512,1,0.4196436692847191,1059565422
True,-O3,-DN=513,1,0.4196436692847191,1062530438
True,-O3,-DN=1000,1,0.4196436678191553,1091419177
True,-O3,-DN=1024,1,0.4196436696844183,1038504996
False,-O0,-DN=32,1,0.0749726729854544,15200563183
False,-O0,-DN=64,1,0.0749726730337012,15037830300
False,-O0,-DN=128,1,0.0749726730351203,14873424109
False,-O0,-DN=256,1,0.0749726730322822,14864353263
False,-O0,-DN=512,1,0.0749726729826163,14893825609
False,-O0,-DN=513,1,0.0749726729159221,15213363088
False,-O0,-DN=1000,1,0.0749726730365393,14921573077
False,-O0,-DN=1024,1,0.0749726730237681,14889621827
False,-O2,-DN=32,1,0.2854993908548562,4008143049
False,-O2,-DN=64,1,0.2854993908548562,3998064047
False,-O2,-DN=128,1,0.2854993906080715,4009284115
