Opt_Level,Region,Size,Run_Iteration,Result
-O2,-DTIME_REGION=0,-DSIZE=128,1,0.001077
-O2,-DTIME_REGION=0,-DSIZE=512,1,0.029236
-O2,-DTIME_REGION=0,-DSIZE=2048,1,1.23228
-O2,-DTIME_REGION=4,-DSIZE=128,1,0.000273
-O2,-DTIME_REGION=4,-DSIZE=512,1,0.016417
-O2,-DTIME_REGION=4,-DSIZE=2048,1,1.186161
-O2,-DTIME_REGION=5,-DSIZE=128,1,3.1e-05
-O2,-DTIME_REGION=5,-DSIZE=512,1,0.000905
-O2,-DTIME_REGION=5,-DSIZE=2048,1,0.015275
-O2,-DTIME_REGION=6,-DSIZE=128,1,3.4e-05
-O2,-DTIME_REGION=6,-DSIZE=512,1,0.000563
-O2,-DTIME_REGION=6,-DSIZE=2048,1,0.008976
-O3,-DTIME_REGION=0,-DSIZE=128,1,0.00031
-O3,-DTIME_REGION=0,-DSIZE=512,1,0.016633
-O3,-DTIME_REGION=0,-DSIZE=2048,1,1.029983
-O3,-DTIME_REGION=4,-DSIZE=128,1,0.000304
-O3,-DTIME_REGION=4,-DSIZE=512,1,0.015219
-O3,-DTIME_REGION=4,-DSIZE=2048,1,1.035537
-O3,-DTIME_REGION=5,-DSIZE=128,1,3.3e-05
-O3,-DTIME_REGION=5,-DSIZE=512,1,0.000994
-O3,-DTIME_REGION=5,-DSIZE=2048,1,0.015301
-O3,-DTIME_REGION=6,-DSIZE=128,1,3.1e-05
-O3,-DTIME_REGION=6,-DSIZE=512,1,0.000563
-O3,-DTIME_REGION=6,-DSIZE=2048,1,0.008492
-O2,-DTIME_REGION=0,-DSIZE=128,2,0.000606
-O2,-DTIME_REGION=0,-DSIZE=512,2,0.019857
-O2,-DTIME_REGION=0,-DSIZE=2048,2,1.196288
-O2,-DTIME_REGION=4,-DSIZE=128,2,0.000272
-O2,-DTIME_REGION=4,-DSIZE=512,2,0.016592
-O2,-DTIME_REGION=4,-DSIZE=2048,2,1.214164
-O2,-DTIME_REGION=5,-DSIZE=128,2,3.3e-05
-O2,-DTIME_REGION=5,-DSIZE=512,2,0.000935
-O2,-DTIME_REGION=5,-DSIZE=2048,2,0.01466
-O2,-DTIME_REGION=6,-DSIZE=128,2,3.4e-05
-O2,-DTIME_REGION=6,-DSIZE=512,2,0.000564
-O2,-DTIME_REGION=6,-DSIZE=2048,2,0.008961
-O3,-DTIME_REGION=0,-DSIZE=128,2,0.000313
-O3,-DTIME_REGION=0,-DSIZE=512,2,0.016457
-O3,-DTIME_REGION=0,-DSIZE=2048,2,1.056223
-O3,-DTIME_REGION=4,-DSIZE=128,2,0.000243
-O3,-DTIME_REGION=4,-DSIZE=512,2,0.015267
-O3,-DTIME_REGION=4,-DSIZE=2048,2,1.006673
-O3,-DTIME_REGION=5,-DSIZE=128,2,3.2e-05
-O3,-DTIME_REGION=5,-DSIZE=512,2,0.00091
-O3,-DTIME_REGION=5,-DSIZE=2048,2,0.015327
-O3,-DTIME_REGION=6,-DSIZE=128,2,3e-05
-O3,-DTIME_REGION=6,-DSIZE=512,2,0.000534
-O3,-DTIME_REGION=6,-DSIZE=2048,2,0.008619
-O2,-DTIME_REGION=0,-DSIZE=128,3,0.00035
-O2,-DTIME_REGION=0,-DSIZE=512,3,0.019026
-O2,-DTIME_REGION=0,-DSIZE=2048,3,1.208632
-O2,-DTIME_REGION=4,-DSIZE=128,3,0.000272
-O2,-DTIME_REGION=4,-DSIZE=512,3,0.016383
-O2,-DTIME_REGION=4,-DSIZE=2048,3,1.264847
-O2,-DTIME_REGION=5,-DSIZE=128,3,3.2e-05
-O2,-DTIME_REGION=5,-DSIZE=512,3,0.000937
-O2,-DTIME_REGION=5,-DSIZE=2048,3,0.015585
-O2,-DTIME_REGION=6,-DSIZE=128,3,3.4e-05
-O2,-DTIME_REGION=6,-DSIZE=512,3,0.000582
-O2,-DTIME_REGION=6,-DSIZE=2048,3,0.009092
-O3,-DTIME_REGION=0,-DSIZE=128,3,0.000313
-O3,-DTIME_REGION=0,-DSIZE=512,3,0.016694
-O3,-DTIME_REGION=0,-DSIZE=2048,3,1.038869
-O3,-DTIME_REGION=4,-DSIZE=128,3,0.000258
-O3,-DTIME_REGION=4,-DSIZE=512,3,0.015199
-O3,-DTIME_REGION=4,-DSIZE=2048,3,0.998162
-O3,-DTIME_REGION=5,-DSIZE=128,3,3.1e-05
-O3,-DTIME_REGION=5,-DSIZE=512,3,0.000918
-O3,-DTIME_REGION=5,-DSIZE=2048,3,0.015293
-O3,-DTIME_REGION=6,-DSIZE=128,3,3.1e-05
-O3,-DTIME_REGION=6,-DSIZE=512,3,0.0005
-O3,-DTIME_REGION=6,-DSIZE=2048,3,0.008485
-O2,-DTIME_REGION=0,-DSIZE=128,4,0.000348
-O2,-DTIME_REGION=0,-DSIZE=512,4,0.018439
-O2,-DTIME_REGION=0,-DSIZE=2048,4,1.218533
-O2,-DTIME_REGION=4,-DSIZE=128,4,0.00027
-O2,-DTIME_REGION=4,-DSIZE=512,4,0.016528
-O2,-DTIME_REGION=4,-DSIZE=2048,4,1.176464
-O2,-DTIME_REGION=5,-DSIZE=128,4,3.1e-05
-O2,-DTIME_REGION=5,-DSIZE=512,4,0.000909
-O2,-DTIME_REGION=5,-DSIZE=2048,4,0.015421
-O2,-DTIME_REGION=6,-DSIZE=128,4,3.4e-05
-O2,-DTIME_REGION=6,-DSIZE=512,4,0.000601
-O2,-DTIME_REGION=6,-DSIZE=2048,4,0.009193
-O3,-DTIME_REGION=0,-DSIZE=128,4,0.000314
-O3,-DTIME_REGION=0,-DSIZE=512,4,0.01677
-O3,-DTIME_REGION=0,-DSIZE=2048,4,1.031716
-O3,-DTIME_REGION=4,-DSIZE=128,4,0.000242
-O3,-DTIME_REGION=4,-DSIZE=512,4,0.015416
-O3,-DTIME_REGION=4,-DSIZE=2048,4,1.012702
-O3,-DTIME_REGION=5,-DSIZE=128,4,3.2e-05
-O3,-DTIME_REGION=5,-DSIZE=512,4,0.000938
-O3,-DTIME_REGION=5,-DSIZE=2048,4,0.015354
-O3,-DTIME_REGION=6,-DSIZE=128,4,3e-05
-O3,-DTIME_REGION=6,-DSIZE=512,4,0.000552
-O3,-DTIME_REGION=6,-DSIZE=2048,4,0.008479
-O2,-DTIME_REGION=0,-DSIZE=128,5,0.000409
-O2,-DTIME_REGION=0,-DSIZE=512,5,0.018488
-O2,-DTIME_REGION=0,-DSIZE=2048,5,1.198313
-O2,-DTIME_REGION=4,-DSIZE=128,5,0.000277
-O2,-DTIME_REGION=4,-DSIZE=512,5,0.016773
-O2,-DTIME_REGION=4,-DSIZE=2048,5,1.202797
-O2,-DTIME_REGION=5,-DSIZE=128,5,3.2e-05
-O2,-DTIME_REGION=5,-DSIZE=512,5,0.000948
