Opt_Level,Region,Size,Run_Iteration,Result
-O2,-DTIME_REGION=0,-DSIZE=128,1,0.000986
-O2,-DTIME_REGION=0,-DSIZE=512,1,0.147421
-O2,-DTIME_REGION=0,-DSIZE=2048,1,45.624342
-O2,-DTIME_REGION=1,-DSIZE=128,1,1.1e-05
-O2,-DTIME_REGION=1,-DSIZE=512,1,0.000292
-O2,-DTIME_REGION=1,-DSIZE=2048,1,0.025759
-O2,-DTIME_REGION=2,-DSIZE=128,1,1.3e-05
-O2,-DTIME_REGION=2,-DSIZE=512,1,0.000298
-O2,-DTIME_REGION=2,-DSIZE=2048,1,0.02148
-O2,-DTIME_REGION=3,-DSIZE=128,1,1.4e-05
-O2,-DTIME_REGION=3,-DSIZE=512,1,0.00021
-O2,-DTIME_REGION=3,-DSIZE=2048,1,0.003977
-O2,-DTIME_REGION=4,-DSIZE=128,1,0.00109
-O2,-DTIME_REGION=4,-DSIZE=512,1,0.146657
-O2,-DTIME_REGION=4,-DSIZE=2048,1,45.785377
-O3,-DTIME_REGION=0,-DSIZE=128,1,0.001438
-O3,-DTIME_REGION=0,-DSIZE=512,1,0.146557
-O3,-DTIME_REGION=0,-DSIZE=2048,1,45.78559
-O3,-DTIME_REGION=1,-DSIZE=128,1,6e-06
-O3,-DTIME_REGION=1,-DSIZE=512,1,0.000177
-O3,-DTIME_REGION=1,-DSIZE=2048,1,0.012818
-O3,-DTIME_REGION=2,-DSIZE=128,1,1.3e-05
-O3,-DTIME_REGION=2,-DSIZE=512,1,0.000299
-O3,-DTIME_REGION=2,-DSIZE=2048,1,0.022298
-O3,-DTIME_REGION=3,-DSIZE=128,1,7e-06
-O3,-DTIME_REGION=3,-DSIZE=512,1,0.000107
-O3,-DTIME_REGION=3,-DSIZE=2048,1,0.002307
-O3,-DTIME_REGION=4,-DSIZE=128,1,0.000873
-O3,-DTIME_REGION=4,-DSIZE=512,1,0.145953
-O3,-DTIME_REGION=4,-DSIZE=2048,1,45.848443
-O2,-DTIME_REGION=0,-DSIZE=128,2,0.001196
-O2,-DTIME_REGION=0,-DSIZE=512,2,0.164105
-O2,-DTIME_REGION=0,-DSIZE=2048,2,46.366487
-O2,-DTIME_REGION=1,-DSIZE=128,2,1.1e-05
-O2,-DTIME_REGION=1,-DSIZE=512,2,0.000343
-O2,-DTIME_REGION=1,-DSIZE=2048,2,0.025523
-O2,-DTIME_REGION=2,-DSIZE=128,2,2.6e-05
-O2,-DTIME_REGION=2,-DSIZE=512,2,0.000315
-O2,-DTIME_REGION=2,-DSIZE=2048,2,0.022182
-O2,-DTIME_REGION=3,-DSIZE=128,2,1.4e-05
-O2,-DTIME_REGION=3,-DSIZE=512,2,0.000211
-O2,-DTIME_REGION=3,-DSIZE=2048,2,0.00399
-O2,-DTIME_REGION=4,-DSIZE=128,2,0.000869
-O2,-DTIME_REGION=4,-DSIZE=512,2,0.185164
-O2,-DTIME_REGION=4,-DSIZE=2048,2,45.847762
-O3,-DTIME_REGION=0,-DSIZE=128,2,0.001295
-O3,-DTIME_REGION=0,-DSIZE=512,2,0.179069
-O3,-DTIME_REGION=0,-DSIZE=2048,2,46.301549
-O3,-DTIME_REGION=1,-DSIZE=128,2,5e-06
-O3,-DTIME_REGION=1,-DSIZE=512,2,0.000156
-O3,-DTIME_REGION=1,-DSIZE=2048,2,0.012927
-O3,-DTIME_REGION=2,-DSIZE=128,2,1.3e-05
-O3,-DTIME_REGION=2,-DSIZE=512,2,0.000308
-O3,-DTIME_REGION=2,-DSIZE=2048,2,0.021988
-O3,-DTIME_REGION=3,-DSIZE=128,2,8e-06
-O3,-DTIME_REGION=3,-DSIZE=512,2,0.000106
-O3,-DTIME_REGION=3,-DSIZE=2048,2,0.002332
-O3,-DTIME_REGION=4,-DSIZE=128,2,0.001044
-O3,-DTIME_REGION=4,-DSIZE=512,2,0.181096
-O3,-DTIME_REGION=4,-DSIZE=2048,2,46.27883
-O2,-DTIME_REGION=0,-DSIZE=128,3,0.001055
-O2,-DTIME_REGION=0,-DSIZE=512,3,0.180025
-O2,-DTIME_REGION=0,-DSIZE=2048,3,46.198373
-O2,-DTIME_REGION=1,-DSIZE=128,3,1e-05
-O2,-DTIME_REGION=1,-DSIZE=512,3,0.000344
-O2,-DTIME_REGION=1,-DSIZE=2048,3,0.025524
-O2,-DTIME_REGION=2,-DSIZE=128,3,1.1e-05
-O2,-DTIME_REGION=2,-DSIZE=512,3,0.000315
-O2,-DTIME_REGION=2,-DSIZE=2048,3,0.021722
-O2,-DTIME_REGION=3,-DSIZE=128,3,1.3e-05
-O2,-DTIME_REGION=3,-DSIZE=512,3,0.000244
-O2,-DTIME_REGION=3,-DSIZE=2048,3,0.003935
-O2,-DTIME_REGION=4,-DSIZE=128,3,0.00091
-O2,-DTIME_REGION=4,-DSIZE=512,3,0.178605
-O2,-DTIME_REGION=4,-DSIZE=2048,3,46.165005
-O3,-DTIME_REGION=0,-DSIZE=128,3,0.001187
-O3,-DTIME_REGION=0,-DSIZE=512,3,0.179316
-O3,-DTIME_REGION=0,-DSIZE=2048,3,46.349833
-O3,-DTIME_REGION=1,-DSIZE=128,3,6e-06
-O3,-DTIME_REGION=1,-DSIZE=512,3,0.000156
-O3,-DTIME_REGION=1,-DSIZE=2048,3,0.012801
-O3,-DTIME_REGION=2,-DSIZE=128,3,1.4e-05
-O3,-DTIME_REGION=2,-DSIZE=512,3,0.000341
-O3,-DTIME_REGION=2,-DSIZE=2048,3,0.024873
-O3,-DTIME_REGION=3,-DSIZE=128,3,8e-06
-O3,-DTIME_REGION=3,-DSIZE=512,3,0.000106
-O3,-DTIME_REGION=3,-DSIZE=2048,3,0.002375
-O3,-DTIME_REGION=4,-DSIZE=128,3,0.00101
-O3,-DTIME_REGION=4,-DSIZE=512,3,0.178245
-O3,-DTIME_REGION=4,-DSIZE=2048,3,46.289475
-O2,-DTIME_REGION=0,-DSIZE=128,4,0.000989
-O2,-DTIME_REGION=0,-DSIZE=512,4,0.180602
-O2,-DTIME_REGION=0,-DSIZE=2048,4,46.245383
-O2,-DTIME_REGION=1,-DSIZE=128,4,1.1e-05
-O2,-DTIME_REGION=1,-DSIZE=512,4,0.000311
-O2,-DTIME_REGION=1,-DSIZE=2048,4,0.025873
-O2,-DTIME_REGION=2,-DSIZE=128,4,1.3e-05
-O2,-DTIME_REGION=2,-DSIZE=512,4,0.000348
-O2,-DTIME_REGION=2,-DSIZE=2048,4,0.022308
-O2,-DTIME_REGION=3,-DSIZE=128,4,1.4e-05
-O2,-DTIME_REGION=3,-DSIZE=512,4,0.00021
-O2,-DTIME_REGION=3,-DSIZE=2048,4,0.003987
-O2,-DTIME_REGION=4,-DSIZE=128,4,0.001079
-O2,-DTIME_REGION=4,-DSIZE=512,4,0.178205
-O2,-DTIME_REGION=4,-DSIZE=2048,4,45.98462
-O3,-DTIME_REGION=0,-DSIZE=128,4,0.001229
-O3,-DTIME_REGION=0,-DSIZE=512,4,0.179553
-O3,-DTIME_REGION=0,-DSIZE=2048,4,46.055732
-O3,-DTIME_REGION=1,-DSIZE=128,4,7e-06
-O3,-DTIME_REGION=1,-DSIZE=512,4,0.000153
-O3,-DTIME_REGION=1,-DSIZE=2048,4,0.013322
-O3,-DTIME_REGION=2,-DSIZE=128,4,1.3e-05
